zip,city,code,state
09001,APO,AE,Armed Forces - Europe/Africa/Canada
09002,APO,AE,Armed Forces - Europe/Africa/Canada
09008,APO,AE,Armed Forces - Europe/Africa/Canada
09009,APO,AE,Armed Forces - Europe/Africa/Canada
09011,APO,AE,Armed Forces - Europe/Africa/Canada
09012,APO,AE,Armed Forces - Europe/Africa/Canada
09014,APO,AE,Armed Forces - Europe/Africa/Canada
09015,APO,AE,Armed Forces - Europe/Africa/Canada
09017,APO,AE,Armed Forces - Europe/Africa/Canada
09020,APO,AE,Armed Forces - Europe/Africa/Canada
09021,APO,AE,Armed Forces - Europe/Africa/Canada
09023,APO,AE,Armed Forces - Europe/Africa/Canada
09026,APO,AE,Armed Forces - Europe/Africa/Canada
09028,APO,AE,Armed Forces - Europe/Africa/Canada
09031,APO,AE,Armed Forces - Europe/Africa/Canada
09033,APO,AE,Armed Forces - Europe/Africa/Canada
09034,APO,AE,Armed Forces - Europe/Africa/Canada
09035,APO,AE,Armed Forces - Europe/Africa/Canada
09036,APO,AE,Armed Forces - Europe/Africa/Canada
09038,APO,AE,Armed Forces - Europe/Africa/Canada
09039,APO,AE,Armed Forces - Europe/Africa/Canada
09042,APO,AE,Armed Forces - Europe/Africa/Canada
09045,APO,AE,Armed Forces - Europe/Africa/Canada
09046,APO,AE,Armed Forces - Europe/Africa/Canada
09047,APO,AE,Armed Forces - Europe/Africa/Canada
09049,APO,AE,Armed Forces - Europe/Africa/Canada
09050,APO,AE,Armed Forces - Europe/Africa/Canada
09052,APO,AE,Armed Forces - Europe/Africa/Canada
09053,APO,AE,Armed Forces - Europe/Africa/Canada
09054,APO,AE,Armed Forces - Europe/Africa/Canada
09055,APO,AE,Armed Forces - Europe/Africa/Canada
09056,APO,AE,Armed Forces - Europe/Africa/Canada
09057,APO,AE,Armed Forces - Europe/Africa/Canada
09058,APO,AE,Armed Forces - Europe/Africa/Canada
09059,APO,AE,Armed Forces - Europe/Africa/Canada
09061,APO,AE,Armed Forces - Europe/Africa/Canada
09063,APO,AE,Armed Forces - Europe/Africa/Canada
09065,APO,AE,Armed Forces - Europe/Africa/Canada
09066,APO,AE,Armed Forces - Europe/Africa/Canada
09067,APO,AE,Armed Forces - Europe/Africa/Canada
09069,APO,AE,Armed Forces - Europe/Africa/Canada
09070,APO,AE,Armed Forces - Europe/Africa/Canada
09072,APO,AE,Armed Forces - Europe/Africa/Canada
09074,APO,AE,Armed Forces - Europe/Africa/Canada
09075,APO,AE,Armed Forces - Europe/Africa/Canada
09076,APO,AE,Armed Forces - Europe/Africa/Canada
09077,APO,AE,Armed Forces - Europe/Africa/Canada
09079,APO,AE,Armed Forces - Europe/Africa/Canada
09080,APO,AE,Armed Forces - Europe/Africa/Canada
09081,APO,AE,Armed Forces - Europe/Africa/Canada
09083,APO,AE,Armed Forces - Europe/Africa/Canada
09084,APO,AE,Armed Forces - Europe/Africa/Canada
09086,APO,AE,Armed Forces - Europe/Africa/Canada
09088,APO,AE,Armed Forces - Europe/Africa/Canada
09090,APO,AE,Armed Forces - Europe/Africa/Canada
09091,APO,AE,Armed Forces - Europe/Africa/Canada
09092,APO,AE,Armed Forces - Europe/Africa/Canada
09093,APO,AE,Armed Forces - Europe/Africa/Canada
09094,APO,AE,Armed Forces - Europe/Africa/Canada
09096,APO,AE,Armed Forces - Europe/Africa/Canada
09097,APO,AE,Armed Forces - Europe/Africa/Canada
09098,APO,AE,Armed Forces - Europe/Africa/Canada
09099,APO,AE,Armed Forces - Europe/Africa/Canada
09102,APO,AE,Armed Forces - Europe/Africa/Canada
09103,APO,AE,Armed Forces - Europe/Africa/Canada
09104,APO,AE,Armed Forces - Europe/Africa/Canada
09105,APO,AE,Armed Forces - Europe/Africa/Canada
09107,APO,AE,Armed Forces - Europe/Africa/Canada
09108,APO,AE,Armed Forces - Europe/Africa/Canada
09109,APO,AE,Armed Forces - Europe/Africa/Canada
09110,APO,AE,Armed Forces - Europe/Africa/Canada
09111,APO,AE,Armed Forces - Europe/Africa/Canada
09112,APO,AE,Armed Forces - Europe/Africa/Canada
09114,APO,AE,Armed Forces - Europe/Africa/Canada
09121,APO,AE,Armed Forces - Europe/Africa/Canada
09123,APO,AE,Armed Forces - Europe/Africa/Canada
09125,APO,AE,Armed Forces - Europe/Africa/Canada
09127,APO,AE,Armed Forces - Europe/Africa/Canada
09128,APO,AE,Armed Forces - Europe/Africa/Canada
09130,APO,AE,Armed Forces - Europe/Africa/Canada
09131,APO,AE,Armed Forces - Europe/Africa/Canada
09132,APO,AE,Armed Forces - Europe/Africa/Canada
09133,APO,AE,Armed Forces - Europe/Africa/Canada
09137,APO,AE,Armed Forces - Europe/Africa/Canada
09139,APO,AE,Armed Forces - Europe/Africa/Canada
09140,APO,AE,Armed Forces - Europe/Africa/Canada
09141,APO,AE,Armed Forces - Europe/Africa/Canada
09142,APO,AE,Armed Forces - Europe/Africa/Canada
09144,APO,AE,Armed Forces - Europe/Africa/Canada
09146,APO,AE,Armed Forces - Europe/Africa/Canada
09150,APO,AE,Armed Forces - Europe/Africa/Canada
09154,APO,AE,Armed Forces - Europe/Africa/Canada
09157,APO,AE,Armed Forces - Europe/Africa/Canada
09159,APO,AE,Armed Forces - Europe/Africa/Canada
09160,APO,AE,Armed Forces - Europe/Africa/Canada
09162,APO,AE,Armed Forces - Europe/Africa/Canada
09164,APO,AE,Armed Forces - Europe/Africa/Canada
09165,APO,AE,Armed Forces - Europe/Africa/Canada
09166,APO,AE,Armed Forces - Europe/Africa/Canada
09169,APO,AE,Armed Forces - Europe/Africa/Canada
09172,APO,AE,Armed Forces - Europe/Africa/Canada
09173,APO,AE,Armed Forces - Europe/Africa/Canada
09175,APO,AE,Armed Forces - Europe/Africa/Canada
09176,APO,AE,Armed Forces - Europe/Africa/Canada
09177,APO,AE,Armed Forces - Europe/Africa/Canada
09178,APO,AE,Armed Forces - Europe/Africa/Canada
09179,APO,AE,Armed Forces - Europe/Africa/Canada
09180,APO,AE,Armed Forces - Europe/Africa/Canada
09182,APO,AE,Armed Forces - Europe/Africa/Canada
